id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4,10
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,10
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4,10
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,https://p.scdn.co/mp3-preview/b13a1bb2d8a04132982a49b6efee933cc9d67c7e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,4,10
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,https://p.scdn.co/mp3-preview/b5ee275ca337899f762b1c1883c11e24a04075b0?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4,10
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,https://p.scdn.co/mp3-preview/d01bb6b4b9952d95d2609632474cda8e632e044d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4,10
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,208760,4,10
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/5aa4aff376bccc73f7fa7df2954649e30a56c4b1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,4,10
2lwwrWVKdf3LR9lbbhnr6R,Float On,Modest Mouse,https://p.scdn.co/mp3-preview/9241188a00b7ae5feb607bf10c21a067c83ed487?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467,4,10
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4,10
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,https://p.scdn.co/mp3-preview/713b601d02641a850f2a3e6097aacaff52328d57?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4,10
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,https://p.scdn.co/mp3-preview/15e1178c9eb7f626ac1112ad8f56eccbec2cd6e5?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4,10
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,4,10
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,https://p.scdn.co/mp3-preview/cb283ce76eeee06a724b942d36a140cc088dd50f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600,4,10
1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God),Kate Bush,https://p.scdn.co/mp3-preview/861d26b52ece3e3ad72a7dc3463daece3478801a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,298933,4,10
