61dYvvfIRtIDFuqZypPAta,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,https://p.scdn.co/mp3-preview/735016777935a2a13c20b82e3799000d240f434c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,151480,4,7
3zLTPuucd3e6TxZnu2dlVS,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven,https://p.scdn.co/mp3-preview/8602651c0c75b98e27d50337835abe5cd9f95b86?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,212067,3,7
1Mse9NKBbEASi50CQ4aYhr,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,Johann Pachelbel,https://p.scdn.co/mp3-preview/ba4f8b563b67eda34436d6b9f2c1d0ecbee5123b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.128,0.132,2,-17.67,1,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,4,7
1upQiytDIEZfl9ItruoXuC,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,https://p.scdn.co/mp3-preview/ffdf09225ab7d6a8cf2967b12f8f99b640bce365?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,7
5fdp9rXfEixCGLM1Og4EN1,Gnossienne No. 1,Erik Satie,https://p.scdn.co/mp3-preview/4b1ebb0bda01aaaa442629818a2cd22e3f53f9a7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4,7
0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,https://p.scdn.co/mp3-preview/1b3cb310d4e62e0c5a727500891a931866492103?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3,7
0cqcRqZgkNHanWQ8slYA0v,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Gustav Mahler,https://p.scdn.co/mp3-preview/32b5439e787a2b770e8bc5941abd47663707d32b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,583293,4,7
0k6P9cdEA9K3k0ASde2Kof,Rodrigo: Concierto de Aranjuez: II. Adagio,Joaquín Rodrigo,https://p.scdn.co/mp3-preview/78c7e3817064b3e84792adedd8bcd64a461b5aff?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,640267,4,7
3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,https://p.scdn.co/mp3-preview/4423bbe58e0471b17db02036ac93f9e1696dc663?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,7
04eShjKTWijeJJqGnhxpYK,Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov,https://p.scdn.co/mp3-preview/1f342f2479f0fe6ae2c084540d1b9e5a6ae76348?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,200360,3,7
